combo_id,advancing_groups,vs_1A,vs_1B,vs_1D,vs_1E,vs_1G,vs_1I,vs_1K,vs_1L
138,"B,C,D,E,G,I,J,L",E,G,B,C,J,D,L,I
139,"B,C,D,E,G,I,J,K",E,G,B,C,J,D,I,K
140,"B,C,D,E,G,H,K,L",E,G,B,C,H,D,L,K
141,"B,C,D,E,G,H,J,L",H,G,B,C,J,D,L,E
142,"B,C,D,E,G,H,J,K",H,G,B,C,J,D,E,K
143,"B,C,D,E,G,H,I,L",E,G,B,C,H,D,L,I
144,"B,C,D,E,G,H,I,K",E,G,B,C,H,D,I,K
145,"B,C,D,E,G,H,I,J",H,G,B,C,J,D,E,I
146,"B,C,D,E,F,J,K,L",C,J,B,D,E,F,L,K
147,"B,C,D,E,F,I,K,L",C,E,B,D,I,F,L,K
148,"B,C,D,E,F,I,J,L",C,J,B,D,E,F,L,I
149,"B,C,D,E,F,I,J,K",C,J,B,D,E,F,I,K
150,"B,C,D,E,F,H,K,L",C,E,B,D,H,F,L,K
151,"B,C,D,E,F,H,J,L",C,J,B,D,H,F,L,E
152,"B,C,D,E,F,H,J,K",C,J,B,D,H,F,E,K
153,"B,C,D,E,F,H,I,L",C,E,B,D,H,F,L,I
154,"B,C,D,E,F,H,I,K",C,E,B,D,H,F,I,K
155,"B,C,D,E,F,H,I,J",C,J,B,D,H,F,E,I
156,"B,C,D,E,F,G,K,L",C,G,B,D,E,F,L,K
157,"B,C,D,E,F,G,J,L",C,G,B,D,J,F,L,E
158,"B,C,D,E,F,G,J,K",C,G,B,D,J,F,E,K
159,"B,C,D,E,F,G,I,L",C,G,B,D,E,F,L,I
160,"B,C,D,E,F,G,I,K",C,G,B,D,E,F,I,K
161,"B,C,D,E,F,G,I,J",C,G,B,D,J,F,E,I
162,"B,C,D,E,F,G,H,L",C,G,B,D,H,F,L,E
163,"B,C,D,E,F,G,H,K",C,G,B,D,H,F,E,K
164,"B,C,D,E,F,G,H,J",H,G,B,C,J,F,D,E
165,"B,C,D,E,F,G,H,I",C,G,B,D,H,F,E,I
166,"A,F,G,H,I,J,K,L",H,J,I,F,A,G,L,K
167,"A,E,G,H,I,J,K,L",E,J,I,A,H,G,L,K
168,"A,E,F,H,I,J,K,L",E,J,I,F,A,H,L,K
169,"A,E,F,G,I,J,K,L",E,J,I,F,A,G,L,K
170,"A,E,F,G,H,J,K,L",E,G,J,F,A,H,L,K
171,"A,E,F,G,H,I,K,L",E,G,I,F,A,H,L,K
172,"A,E,F,G,H,I,J,L",E,G,J,F,A,H,L,I
173,"A,E,F,G,H,I,J,K",E,G,J,F,A,H,I,K
174,"A,D,G,H,I,J,K,L",H,J,I,D,A,G,L,K
175,"A,D,F,H,I,J,K,L",H,J,I,D,A,F,L,K
176,"A,D,F,G,I,J,K,L",I,G,J,D,A,F,L,K
177,"A,D,F,G,H,J,K,L",H,G,J,D,A,F,L,K
178,"A,D,F,G,H,I,K,L",H,G,I,D,A,F,L,K
179,"A,D,F,G,H,I,J,L",H,G,J,D,A,F,L,I
180,"A,D,F,G,H,I,J,K",H,G,J,D,A,F,I,K
181,"A,D,E,H,I,J,K,L",E,J,I,D,A,H,L,K
182,"A,D,E,G,I,J,K,L",E,J,I,D,A,G,L,K
183,"A,D,E,G,H,J,K,L",E,G,J,D,A,H,L,K
184,"A,D,E,G,H,I,K,L",E,G,I,D,A,H,L,K
185,"A,D,E,G,H,I,J,L",E,G,J,D,A,H,L,I
186,"A,D,E,G,H,I,J,K",E,G,J,D,A,H,I,K
187,"A,D,E,F,I,J,K,L",E,J,I,D,A,F,L,K
188,"A,D,E,F,H,J,K,L",H,J,E,D,A,F,L,K
189,"A,D,E,F,H,I,K,L",H,E,I,D,A,F,L,K
190,"A,D,E,F,H,I,J,L",H,J,E,D,A,F,L,I
191,"A,D,E,F,H,I,J,K",H,J,E,D,A,F,I,K
192,"A,D,E,F,G,J,K,L",E,G,J,D,A,F,L,K
193,"A,D,E,F,G,I,K,L",E,G,I,D,A,F,L,K
194,"A,D,E,F,G,I,J,L",E,G,J,D,A,F,L,I
195,"A,D,E,F,G,I,J,K",E,G,J,D,A,F,I,K
196,"A,D,E,F,G,H,K,L",H,G,E,D,A,F,L,K
197,"A,D,E,F,G,H,J,L",H,G,J,D,A,F,L,E
198,"A,D,E,F,G,H,J,K",H,G,J,D,A,F,E,K
199,"A,D,E,F,G,H,I,L",H,G,E,D,A,F,L,I
200,"A,D,E,F,G,H,I,K",H,G,E,D,A,F,I,K
201,"A,D,E,F,G,H,I,J",H,G,J,D,A,F,E,I
202,"A,C,G,H,I,J,K,L",H,J,I,C,A,G,L,K
203,"A,C,F,H,I,J,K,L",H,J,I,C,A,F,L,K
204,"A,C,F,G,I,J,K,L",I,G,J,C,A,F,L,K
205,"A,C,F,G,H,J,K,L",H,G,J,C,A,F,L,K
206,"A,C,F,G,H,I,K,L",H,G,I,C,A,F,L,K
207,"A,C,F,G,H,I,J,L",H,G,J,C,A,F,L,I
208,"A,C,F,G,H,I,J,K",H,G,J,C,A,F,I,K
209,"A,C,E,H,I,J,K,L",E,J,I,C,A,H,L,K
210,"A,C,E,G,I,J,K,L",E,J,I,C,A,G,L,K
211,"A,C,E,G,H,J,K,L",E,G,J,C,A,H,L,K
212,"A,C,E,G,H,I,K,L",E,G,I,C,A,H,L,K
213,"A,C,E,G,H,I,J,L",E,G,J,C,A,H,L,I
214,"A,C,E,G,H,I,J,K",E,G,J,C,A,H,I,K
215,"A,C,E,F,I,J,K,L",E,J,I,C,A,F,L,K
216,"A,C,E,F,H,J,K,L",H,J,E,C,A,F,L,K
217,"A,C,E,F,H,I,K,L",H,E,I,C,A,F,L,K
218,"A,C,E,F,H,I,J,L",H,J,E,C,A,F,L,I
219,"A,C,E,F,H,I,J,K",H,J,E,C,A,F,I,K
220,"A,C,E,F,G,J,K,L",E,G,J,C,A,F,L,K
221,"A,C,E,F,G,I,K,L",E,G,I,C,A,F,L,K
222,"A,C,E,F,G,I,J,L",E,G,J,C,A,F,L,I
223,"A,C,E,F,G,I,J,K",E,G,J,C,A,F,I,K
224,"A,C,E,F,G,H,K,L",H,G,E,C,A,F,L,K
225,"A,C,E,F,G,H,J,L",H,G,J,C,A,F,L,E
226,"A,C,E,F,G,H,J,K",H,G,J,C,A,F,E,K
227,"A,C,E,F,G,H,I,L",H,G,E,C,A,F,L,I
228,"A,C,E,F,G,H,I,K",H,G,E,C,A,F,I,K
229,"A,C,E,F,G,H,I,J",H,G,J,C,A,F,E,I
230,"A,C,D,H,I,J,K,L",H,J,I,C,A,D,L,K
231,"A,C,D,G,I,J,K,L",I,G,J,C,A,D,L,K
232,"A,C,D,G,H,J,K,L",H,G,J,C,A,D,L,K
233,"A,C,D,G,H,I,K,L",H,G,I,C,A,D,L,K
234,"A,C,D,G,H,I,J,L",H,G,J,C,A,D,L,I
235,"A,C,D,G,H,I,J,K",H,G,J,C,A,D,I,K
236,"A,C,D,F,I,J,K,L",C,J,I,D,A,F,L,K
237,"A,C,D,F,H,J,K,L",H,J,F,C,A,D,L,K
238,"A,C,D,F,H,I,K,L",H,F,I,C,A,D,L,K
239,"A,C,D,F,H,I,J,L",H,J,F,C,A,D,L,I
240,"A,C,D,F,H,I,J,K",H,J,F,C,A,D,I,K
241,"A,C,D,F,G,J,K,L",C,G,J,D,A,F,L,K
242,"A,C,D,F,G,I,K,L",C,G,I,D,A,F,L,K
243,"A,C,D,F,G,I,J,L",C,G,J,D,A,F,L,I
244,"A,C,D,F,G,I,J,K",C,G,J,D,A,F,I,K
245,"A,C,D,F,G,H,K,L",H,G,F,C,A,D,L,K
246,"A,C,D,F,G,H,J,L",C,G,J,D,A,F,L,H
247,"A,C,D,F,G,H,J,K",H,G,J,C,A,F,D,K
248,"A,C,D,F,G,H,I,L",H,G,F,C,A,D,L,I
249,"A,C,D,F,G,H,I,K",H,G,F,C,A,D,I,K
250,"A,C,D,F,G,H,I,J",H,G,J,C,A,F,D,I
251,"A,C,D,E,I,J,K,L",E,J,I,C,A,D,L,K
252,"A,C,D,E,H,J,K,L",H,J,E,C,A,D,L,K
253,"A,C,D,E,H,I,K,L",H,E,I,C,A,D,L,K
254,"A,C,D,E,H,I,J,L",H,J,E,C,A,D,L,I
255,"A,C,D,E,H,I,J,K",H,J,E,C,A,D,I,K
256,"A,C,D,E,G,J,K,L",E,G,J,C,A,D,L,K
257,"A,C,D,E,G,I,K,L",E,G,I,C,A,D,L,K
258,"A,C,D,E,G,I,J,L",E,G,J,C,A,D,L,I
259,"A,C,D,E,G,I,J,K",E,G,J,C,A,D,I,K
260,"A,C,D,E,G,H,K,L",H,G,E,C,A,D,L,K
261,"A,C,D,E,G,H,J,L",H,G,J,C,A,D,L,E
262,"A,C,D,E,G,H,J,K",H,G,J,C,A,D,E,K
263,"A,C,D,E,G,H,I,L",H,G,E,C,A,D,L,I
264,"A,C,D,E,G,H,I,K",H,G,E,C,A,D,I,K
265,"A,C,D,E,G,H,I,J",H,G,J,C,A,D,E,I
266,"A,C,D,E,F,J,K,L",C,J,E,D,A,F,L,K
267,"A,C,D,E,F,I,K,L",C,E,I,D,A,F,L,K
268,"A,C,D,E,F,I,J,L",C,J,E,D,A,F,L,I
269,"A,C,D,E,F,I,J,K",C,J,E,D,A,F,I,K
270,"A,C,D,E,F,H,K,L",H,E,F,C,A,D,L,K
271,"A,C,D,E,F,H,J,L",H,J,F,C,A,D,L,E
272,"A,C,D,E,F,H,J,K",H,J,E,C,A,F,D,K
273,"A,C,D,E,F,H,I,L",H,E,F,C,A,D,L,I
274,"A,C,D,E,F,H,I,K",H,E,F,C,A,D,I,K
275,"A,C,D,E,F,H,I,J",H,J,E,C,A,F,D,I
276,"A,C,D,E,F,G,K,L",C,G,E,D,A,F,L,K
277,"A,C,D,E,F,G,J,L",C,G,J,D,A,F,L,E
278,"A,C,D,E,F,G,J,K",C,G,J,D,A,F,E,K
279,"A,C,D,E,F,G,I,L",C,G,E,D,A,F,L,I
280,"A,C,D,E,F,G,I,K",C,G,E,D,A,F,I,K
281,"A,C,D,E,F,G,I,J",C,G,J,D,A,F,E,I
282,"A,C,D,E,F,G,H,L",H,G,F,C,A,D,L,E
283,"A,C,D,E,F,G,H,K",H,G,E,C,A,F,D,K
284,"A,C,D,E,F,G,H,J",H,G,J,C,A,F,D,E
285,"A,C,D,E,F,G,H,I",H,G,E,C,A,F,D,I
286,"A,B,G,H,I,J,K,L",H,J,B,A,I,G,L,K
287,"A,B,F,H,I,J,K,L",H,J,B,A,I,F,L,K
288,"A,B,F,G,I,J,K,L",I,J,B,F,A,G,L,K
289,"A,B,F,G,H,J,K,L",H,J,B,F,A,G,L,K
290,"A,B,F,G,H,I,K,L",H,G,B,A,I,F,L,K
291,"A,B,F,G,H,I,J,L",H,J,B,F,A,G,L,I
292,"A,B,F,G,H,I,J,K",H,J,B,F,A,G,I,K
293,"A,B,E,H,I,J,K,L",E,J,B,A,I,H,L,K
294,"A,B,E,G,I,J,K,L",E,J,B,A,I,G,L,K
295,"A,B,E,G,H,J,K,L",E,J,B,A,H,G,L,K
296,"A,B,E,G,H,I,K,L",E,G,B,A,I,H,L,K
297,"A,B,E,G,H,I,J,L",E,J,B,A,H,G,L,I
298,"A,B,E,G,H,I,J,K",E,J,B,A,H,G,I,K
299,"A,B,E,F,I,J,K,L",E,J,B,A,I,F,L,K
300,"A,B,E,F,H,J,K,L",E,J,B,F,A,H,L,K
301,"A,B,E,F,H,I,K,L",E,I,B,F,A,H,L,K
302,"A,B,E,F,H,I,J,L",E,J,B,F,A,H,L,I
303,"A,B,E,F,H,I,J,K",E,J,B,F,A,H,I,K
304,"A,B,E,F,G,J,K,L",E,J,B,F,A,G,L,K
305,"A,B,E,F,G,I,K,L",E,G,B,A,I,F,L,K
306,"A,B,E,F,G,I,J,L",E,J,B,F,A,G,L,I
307,"A,B,E,F,G,I,J,K",E,J,B,F,A,G,I,K
308,"A,B,E,F,G,H,K,L",E,G,B,F,A,H,L,K
309,"A,B,E,F,G,H,J,L",H,J,B,F,A,G,L,E
310,"A,B,E,F,G,H,J,K",H,J,B,F,A,G,E,K
311,"A,B,E,F,G,H,I,L",E,G,B,F,A,H,L,I
312,"A,B,E,F,G,H,I,K",E,G,B,F,A,H,I,K
313,"A,B,E,F,G,H,I,J",H,J,B,F,A,G,E,I
314,"A,B,D,H,I,J,K,L",I,J,B,D,A,H,L,K
315,"A,B,D,G,I,J,K,L",I,J,B,D,A,G,L,K
316,"A,B,D,G,H,J,K,L",H,J,B,D,A,G,L,K
317,"A,B,D,G,H,I,K,L",I,G,B,D,A,H,L,K
318,"A,B,D,G,H,I,J,L",H,J,B,D,A,G,L,I
319,"A,B,D,G,H,I,J,K",H,J,B,D,A,G,I,K
320,"A,B,D,F,I,J,K,L",I,J,B,D,A,F,L,K
321,"A,B,D,F,H,J,K,L",H,J,B,D,A,F,L,K
322,"A,B,D,F,H,I,K,L",H,I,B,D,A,F,L,K
323,"A,B,D,F,H,I,J,L",H,J,B,D,A,F,L,I
324,"A,B,D,F,H,I,J,K",H,J,B,D,A,F,I,K
325,"A,B,D,F,G,J,K,L",F,J,B,D,A,G,L,K
326,"A,B,D,F,G,I,K,L",I,G,B,D,A,F,L,K
327,"A,B,D,F,G,I,J,L",F,J,B,D,A,G,L,I
328,"A,B,D,F,G,I,J,K",F,J,B,D,A,G,I,K
329,"A,B,D,F,G,H,K,L",H,G,B,D,A,F,L,K
330,"A,B,D,F,G,H,J,L",H,G,B,D,A,F,L,J
331,"A,B,D,F,G,H,J,K",H,G,B,D,A,F,J,K
332,"A,B,D,F,G,H,I,L",H,G,B,D,A,F,L,I
333,"A,B,D,F,G,H,I,K",H,G,B,D,A,F,I,K
334,"A,B,D,F,G,H,I,J",H,G,B,D,A,F,I,J
335,"A,B,D,E,I,J,K,L",E,J,B,A,I,D,L,K
336,"A,B,D,E,H,J,K,L",E,J,B,D,A,H,L,K
337,"A,B,D,E,H,I,K,L",E,I,B,D,A,H,L,K
338,"A,B,D,E,H,I,J,L",E,J,B,D,A,H,L,I
339,"A,B,D,E,H,I,J,K",E,J,B,D,A,H,I,K
340,"A,B,D,E,G,J,K,L",E,J,B,D,A,G,L,K
341,"A,B,D,E,G,I,K,L",E,G,B,A,I,D,L,K
342,"A,B,D,E,G,I,J,L",E,J,B,D,A,G,L,I
343,"A,B,D,E,G,I,J,K",E,J,B,D,A,G,I,K
344,"A,B,D,E,G,H,K,L",E,G,B,D,A,H,L,K
345,"A,B,D,E,G,H,J,L",H,J,B,D,A,G,L,E
346,"A,B,D,E,G,H,J,K",H,J,B,D,A,G,E,K
347,"A,B,D,E,G,H,I,L",E,G,B,D,A,H,L,I
348,"A,B,D,E,G,H,I,K",E,G,B,D,A,H,I,K
349,"A,B,D,E,G,H,I,J",H,J,B,D,A,G,E,I
350,"A,B,D,E,F,J,K,L",E,J,B,D,A,F,L,K
351,"A,B,D,E,F,I,K,L",E,I,B,D,A,F,L,K
352,"A,B,D,E,F,I,J,L",E,J,B,D,A,F,L,I
353,"A,B,D,E,F,I,J,K",E,J,B,D,A,F,I,K
354,"A,B,D,E,F,H,K,L",H,E,B,D,A,F,L,K
355,"A,B,D,E,F,H,J,L",H,J,B,D,A,F,L,E
356,"A,B,D,E,F,H,J,K",H,J,B,D,A,F,E,K
357,"A,B,D,E,F,H,I,L",H,E,B,D,A,F,L,I
358,"A,B,D,E,F,H,I,K",H,E,B,D,A,F,I,K
359,"A,B,D,E,F,H,I,J",H,J,B,D,A,F,E,I
360,"A,B,D,E,F,G,K,L",E,G,B,D,A,F,L,K
361,"A,B,D,E,F,G,J,L",E,G,B,D,A,F,L,J
362,"A,B,D,E,F,G,J,K",E,G,B,D,A,F,J,K
363,"A,B,D,E,F,G,I,L",E,G,B,D,A,F,L,I
364,"A,B,D,E,F,G,I,K",E,G,B,D,A,F,I,K
365,"A,B,D,E,F,G,I,J",E,G,B,D,A,F,I,J
366,"A,B,D,E,F,G,H,L",H,G,B,D,A,F,L,E
367,"A,B,D,E,F,G,H,K",H,G,B,D,A,F,E,K
368,"A,B,D,E,F,G,H,J",H,G,B,D,A,F,E,J
369,"A,B,D,E,F,G,H,I",H,G,B,D,A,F,E,I
370,"A,B,C,H,I,J,K,L",I,J,B,C,A,H,L,K
371,"A,B,C,G,I,J,K,L",I,J,B,C,A,G,L,K
372,"A,B,C,G,H,J,K,L",H,J,B,C,A,G,L,K
373,"A,B,C,G,H,I,K,L",I,G,B,C,A,H,L,K
374,"A,B,C,G,H,I,J,L",H,J,B,C,A,G,L,I
375,"A,B,C,G,H,I,J,K",H,J,B,C,A,G,I,K
376,"A,B,C,F,I,J,K,L",I,J,B,C,A,F,L,K
377,"A,B,C,F,H,J,K,L",H,J,B,C,A,F,L,K
378,"A,B,C,F,H,I,K,L",H,I,B,C,A,F,L,K
379,"A,B,C,F,H,I,J,L",H,J,B,C,A,F,L,I
380,"A,B,C,F,H,I,J,K",H,J,B,C,A,F,I,K
381,"A,B,C,F,G,J,K,L",C,J,B,F,A,G,L,K
382,"A,B,C,F,G,I,K,L",I,G,B,C,A,F,L,K
383,"A,B,C,F,G,I,J,L",C,J,B,F,A,G,L,I
384,"A,B,C,F,G,I,J,K",C,J,B,F,A,G,I,K
385,"A,B,C,F,G,H,K,L",H,G,B,C,A,F,L,K
386,"A,B,C,F,G,H,J,L",H,G,B,C,A,F,L,J
387,"A,B,C,F,G,H,J,K",H,G,B,C,A,F,J,K
388,"A,B,C,F,G,H,I,L",H,G,B,C,A,F,L,I
389,"A,B,C,F,G,H,I,K",H,G,B,C,A,F,I,K
390,"A,B,C,F,G,H,I,J",H,G,B,C,A,F,I,J
391,"A,B,C,E,I,J,K,L",E,J,B,A,I,C,L,K
392,"A,B,C,E,H,J,K,L",E,J,B,C,A,H,L,K
393,"A,B,C,E,H,I,K,L",E,I,B,C,A,H,L,K
394,"A,B,C,E,H,I,J,L",E,J,B,C,A,H,L,I
395,"A,B,C,E,H,I,J,K",E,J,B,C,A,H,I,K
396,"A,B,C,E,G,J,K,L",E,J,B,C,A,G,L,K
